"~(으)ㄹ게요","to volunteer to do something for someone else"
"~(으)ㄹ 수 있다","to have the ability or situation permits"
"~(으)ㄹ 수 없다","to not have the ability or situation not permits"
"~(으)ㄹ 줄 알다","to know how to do something"
"~(으)ㄹ 줄 모르다","to not know how to do something"
"~도 돼요","to be allowed to"
"~면 안 돼요","to not be allowed to"
"입었어요","wearing"
"~지 않다","more formal than 안"
"춥죠?","is it cool? (assume agreement)"
"춥지 않아요?","is it cool? (softer, unsure)"
"~아/어 보세요","try something"
"deferential","used for unspecified audiences/very formal settings"
"honorific","show respect to subject"
"polite","show respect to listener"
"가셔","to go (honorific, plain)"
"~에게","to a person (more formal)"
"~한테","to a person (less formal)"
"~(으)ㄹ래요","I'd like/would you like"
"~고 계세요","present progressive (honorific)"
"아니었어요","to not been"
"~(으)려고","in order to (clausal connective)"
"~(으)려고 하다","expresses intent, goal, resolution"
"~(으)면서","while or during (performing two actions simultaneously)"
"~고 나서","completion of action immediately follows with different action"
"랑","Same as 하고 (more colloquial)"
"추우세요","to be cold (honorific)"
"어려우세요","to be difficult (honorific)"
"쉬우세요","to be easy (honorific)"
"싱거우세요","to be bland, tedious (honorific)"
"기세요","to be long (honorific)"
"아세요","to know (honorific)"
"우세요","to cry (honorific)"
"나세요","to fly (honorific)"
"~(으)ㄴ 다음에","after (some action)"
"~마다","every (time period); every instance"
"~(으)니까","Because V/adj... (permits imperative, propositive, tense markers)"
"~(이)라서","because S is N... (permits tense markers)"
"사랑하니까","Because I love you"
"배고프니까","Because I'm hungry"
"~(으)면","if-then, when-then (clausal connective)"
"~(으)ㄹ까요?","let's (question); do you think...? will it be...?"
"~(으)십시오","imperative (formal)"
"추우면","when/if it's cold"
"들으면","when you listen/hear"
"멀면","when it's far"
"게","것이 (contraction)"
"걸","것을 (contraction)"
"~는 게 어때요?","Would ___ be okay?"
"~기로 했어요","to have promised to do something"
"~(으)ㅂ시다","let's (statement)"
"~지 맙시다","let's not"
"~에 관한 책","A book about ..."
"하나도","not at all (requires negative verb)"
"~게","Convert adjective to adverb"
"~네~","Expressing surprise or admiration"
"만약 ~(으)면","if-then (emphasizing conditional)"
"~겠~","conjecture, opinion"
"~ㄹ 거라고 생각하다","I think that..."
"네 개에 ...","... for four"
"~아/어 주시겠어요?","Asking for a favor (more polite that ~아/어 주시다)"
"~다고 했어요","reporting what someone said (adjectives, 있다, 없다)"
"~다고 해요","sharing well-known facts and rumors"
"~ㄴ/는다고 했어요","reporting what someone said (present-tense verbs)"
"~았/었다고 했어요","reporting what someone said (past-tense verbs)"
"~ㄹ/을 거라고 했어요","reporting what someone said (future-tense verbs)"
"~았/었다고 전해 주세요","please tell A that..."
"좋겠어요","it must be nice"
"죽겠어요","I feel like I'm dying"
"존댓말","honorific speech"
"말씀하시다","to talk (honorific)"
"드시다","to eat or drink (honorific)"
"께서","이/가 (honorific)"
"께","한테 (honorific)"
"시장","market"
"잡수시다","to eat (honorific, not drinking)"
"들으시다","듣다 (honorific)"
"사시다","살다 (honorific)"
"계시다","있다 (honorific, location only)"
"있으시다","있다 (honorific, existence only)"
"기자","journalist, reporter"
"회사원","office worker"
"알맞다","appropriate, correct"
"사무실","office"
"칠판","blackboard"
"바꾸다","to exchange; to give someone else the phone"
"잠깐만요","one moment, please; excuse me (need to get past)"
"어둡다","to be dark, dim, gloomy"
"불을 켜다","to turn on the light"
"그러세요?","really? (honorific)"
"드리다","to give (humble)"
"열게요","to offer to open something for someone"
"걸을게요","to offer to walk for someone"
"도울게요","to offer to help someone"
"잊어 버리다","to forget"
"이메일 주소","email address"
"처음","first time"
"먼저","before someone else"
"걷다","to walk"
"돕다","to help"
"날씬하다","to be slim"
"종이","(blank) paper"
"설명하다","to explain"
"홍차","black tea"
"독일","Germany"
"원하다","to want"
"알리다","to inform, to tell"
"연락처","contact info"
"통화하다","to talk by phone"
"때문에","because of"
"nominalize","Convert a word to a noun"
"gerund","Form derived from verb but functions as noun (e.g., ~ing)"
"아픔","pain"
"기쁨","happiness"
"걸음","step"
"학습하다","to study"
"정리","to clean/organize"
"개인 정보","personal information"
"교환하다","to exchange"
"인사하다","to greet"
"이사하다","to move"
"사귀다","to make friends"
"묻다","to ask"
"직업","profession"
"강사","lecturer"
"도시","city"
"동아시아학","east asian studies"
"이제부터","from now on"
"하지만","but"
"다시","again"
"모두","all"
"떠나다","to leave"
"달리기","running"
"굽다","to bake, to grill"
"홈베이킹","home baking"
"마라톤","marathon"
"매주","every week"
"주일","week counter (Sino)"
"여기저기","here and there"
"구경하다","to look around"
"친척","relative"
"관심이 있다","to be interested"
"개월","month counter (Sino)"
"달","month counter (native)"
"구하다","to look/search for"
"들어오다","to come in"
"수고하다","to work hard"
"생기다","to happen, occur"
"돈이 생기다","to come across some money"
"돈을 벌다","to earn money"
"오래","long (time)"
"오랫동안","for a long time"
"글쎄요","well"
"잘 모르겠어요","I don't really know"
"등산","mountain climbing"
"아마","probably, perhaps"
"밀리다","to be delayed"
"호선","train or metro line (Sino)"
"쭉","straight"
"나오다","to come out, to come to"
"건너편","across; opposite side"
"왼쪽","left"
"오른쪽","right"
"지나기 전","before you go past"
